State,County,City,ZIP Code,Estimated Population,Zone ID,Zone Target Pop,Status,Showcase Business Name,Showcase Street,Showcase City,Showcase State,Showcase Zip
PA,Clearfield,Hyde,16843,657,HAR-A,977084,Available,,,,,
PA,Centre,Julian,16844,2769,HAR-A,977084,Available,,,,,
PA,Clearfield,Karthaus,16845,1088,HAR-A,977084,Available,,,,,
PA,Clearfield,Kylertown,16847,335,HAR-A,977084,Available,,,,,
PA,Clinton,Lamar,16848,319,LAN-A,977084,Available,,,,,
PA,Clearfield,Lanse,16849,331,HAR-A,977084,Available,,,,,
PA,Centre,Lemont,16851,866,HAR-A,977084,Available,,,,,
PA,Centre,Madisonburg,16852,371,HAR-A,977084,Available,,,,,
PA,Centre,Milesburg,16853,300,HAR-A,977084,Available,,,,,
PA,Centre,Millheim,16854,947,HAR-A,977084,Available,,,,,
PA,Clearfield,Mineral Springs,16855,282,HAR-A,977084,Available,,,,,
PA,Clearfield,Morrisdale,16858,3688,HAR-A,977084,Available,,,,,
PA,Centre,Moshannon,16859,542,HAR-A,977084,Available,,,,,
PA,Clearfield,Munson,16860,451,HAR-A,977084,Available,,,,,
PA,Clearfield,New Millport,16861,311,HAR-A,977084,Available,,,,,
PA,Clearfield,Olanta,16863,718,HAR-A,977084,Available,,,,,
PA,Centre,Pennsylvania Furnace,16865,1839,HAR-A,977084,Available,,,,,
PA,Centre,Philipsburg,16866,9881,HAR-A,977084,Available,,,,,
PA,Centre,Pine Grove Mills,16868,483,HAR-A,977084,Available,,,,,
PA,Centre,Port Matilda,16870,7046,HAR-A,977084,Available,,,,,
PA,Clearfield,Pottersdale,16871,46,HAR-A,977084,Available,,,,,
PA,Centre,Rebersburg,16872,1551,HAR-A,977084,Available,,,,,
PA,Centre,Snow Shoe,16874,1371,HAR-A,977084,Available,,,,,
PA,Centre,Spring Mills,16875,3945,HAR-A,977084,Available,,,,,
PA,Clearfield,Wallaceton,16876,311,HAR-A,977084,Available,,,,,
PA,Huntingdon,Warriors Mark,16877,1762,HAR-A,977084,Available,,,,,
PA,Clearfield,West Decatur,16878,1762,HAR-A,977084,Available,,,,,
